Date,1a. open (USD),2a. high (USD),3a. low (USD),4a. close (USD),5. volume,6. market cap (USD)
2022-12-01,1200.25,1250.50,1180.75,1230.45,1500000,150000000
2022-12-02,1230.45,1280.30,1210.20,1260.80,1600000,160000000
2022-12-03,1260.80,1300.40,1240.60,1290.15,1700000,170000000
2022-12-04,1290.15,1320.75,1270.90,1310.50,1800000,180000000
2022-12-05,1310.50,1350.25,1290.30,1340.85,1900000,190000000
2022-12-06,1340.85,1380.60,1320.15,1370.20,2000000,200000000
2022-12-07,1370.20,1410.95,1350.00,1400.55,2100000,210000000
2022-12-08,1400.55,1440.30,1380.85,1430.90,2200000,220000000
2022-12-09,1430.90,1470.65,1410.70,1460.25,2300000,230000000
2022-12-10,1460.25,1500.00,1440.55,1490.60,2400000,240000000
2022-12-11,1490.60,1530.35,1470.40,1520.95,2500000,250000000
2022-12-12,1520.95,1560.70,1500.25,1551.30,2600000,260000000
2022-12-13,1551.30,1590.05,1530.10,1581.65,2700000,270000000
2022-12-14,1581.65,1620.40,1560.95,1612.00,2800000,280000000
2022-12-15,1612.00,1650.75,1590.80,1642.35,2900000,290000000
2022-12-16,1642.35,1680.10,1620.65,1672.70,3000000,300000000
2022-12-17,1672.70,1710.45,1650.50,1703.05,3100000,310000000
2022-12-18,1703.05,1740.80,1680.35,1733.40,3200000,320000000
2022-12-19,1733.40,1770.15,1710.20,1763.75,3300000,330000000
2022-12-20,1763.75,1800.50,1740.05,1794.10,3400000,340000000
2022-12-21,1794.10,1830.85,1770.90,1824.45,3500000,350000000
2022-12-22,1824.45,1860.20,1800.75,1854.80,3600000,360000000
2022-12-23,1854.80,1890.55,1830.60,1885.15,3700000,370000000
2022-12-24,1885.15,1920.90,1860.45,1915.50,3800000,380000000
2022-12-25,1915.50,1950.25,1890.30,1945.85,3900000,390000000
2022-12-26,1945.85,1980.60,1920.15,1976.20,4000000,400000000
2022-12-27,1976.20,2010.95,1950.00,2006.55,4100000,410000000
2022-12-28,2006.55,2040.30,1980.85,2036.90,4200000,420000000
2022-12-29,2036.90,2070.65,2010.70,2067.25,4300000,430000000
2022-12-30,2067.25,2100.00,2040.55,2097.60,4400000,440000000
